freq,v_in, v_out
2.04E+03,1,1.44E-03
2.09E+03,1,1.41E-03
2.14E+03,1,1.38E-03
2.19E+03,1,1.35E-03
2.24E+03,1,1.32E-03
2.29E+03,1,1.29E-03
2.34E+03,1,1.26E-03
2.40E+03,1,1.23E-03
2.46E+03,1,1.20E-03
2.51E+03,1,1.17E-03
2.57E+03,1,1.15E-03
2.63E+03,1,1.12E-03
2.69E+03,1,1.10E-03
2.75E+03,1,1.07E-03
2.82E+03,1,1.05E-03
2.88E+03,1,1.02E-03
2.95E+03,1,9.99E-04
3.02E+03,1,9.76E-04
3.09E+03,1,9.54E-04
3.16E+03,1,9.32E-04
3.24E+03,1,9.11E-04
3.31E+03,1,8.90E-04
3.39E+03,1,8.70E-04
3.47E+03,1,8.50E-04
3.55E+03,1,8.31E-04
3.63E+03,1,8.12E-04
3.72E+03,1,7.93E-04
3.80E+03,1,7.75E-04
3.89E+03,1,7.58E-04
3.98E+03,1,7.41E-04
4.07E+03,1,7.24E-04
4.17E+03,1,7.07E-04
4.27E+03,1,6.91E-04
4.37E+03,1,6.75E-04
4.47E+03,1,6.60E-04
4.57E+03,1,6.45E-04
4.68E+03,1,6.30E-04
4.79E+03,1,6.16E-04
4.90E+03,1,6.02E-04
5.01E+03,1,5.88E-04
5.13E+03,1,5.75E-04
5.25E+03,1,5.62E-04
5.37E+03,1,5.49E-04
5.50E+03,1,5.36E-04
5.62E+03,1,5.24E-04
5.75E+03,1,5.12E-04
5.89E+03,1,5.01E-04
6.03E+03,1,4.89E-04
6.17E+03,1,4.78E-04
6.31E+03,1,4.67E-04
6.46E+03,1,4.57E-04
6.61E+03,1,4.46E-04
6.76E+03,1,4.36E-04
6.92E+03,1,4.26E-04
7.08E+03,1,4.16E-04
7.24E+03,1,4.07E-04
7.41E+03,1,3.98E-04
7.59E+03,1,3.89E-04
7.76E+03,1,3.80E-04
7.94E+03,1,3.71E-04
8.13E+03,1,3.63E-04
8.32E+03,1,3.54E-04
8.51E+03,1,3.46E-04
8.71E+03,1,3.39E-04
8.91E+03,1,3.31E-04
9.12E+03,1,3.23E-04
9.33E+03,1,3.16E-04
9.55E+03,1,3.09E-04
9.77E+03,1,3.02E-04
1.00E+04,1,2.95E-04
1.02E+04,1,2.88E-04
1.05E+04,1,2.82E-04
1.07E+04,1,2.75E-04
1.10E+04,1,2.69E-04
1.12E+04,1,2.63E-04
1.15E+04,1,2.57E-04
1.18E+04,1,2.51E-04
1.20E+04,1,2.45E-04
1.23E+04,1,2.40E-04
1.26E+04,1,2.34E-04
1.29E+04,1,2.29E-04
1.32E+04,1,2.24E-04
1.35E+04,1,2.19E-04
1.38E+04,1,2.14E-04
1.41E+04,1,2.09E-04
1.45E+04,1,2.04E-04
1.48E+04,1,1.99E-04
1.51E+04,1,1.95E-04
1.55E+04,1,1.90E-04
1.59E+04,1,1.86E-04
1.62E+04,1,1.82E-04
1.66E+04,1,1.78E-04
1.70E+04,1,1.74E-04
1.74E+04,1,1.70E-04
1.78E+04,1,1.66E-04
1.82E+04,1,1.62E-04
1.86E+04,1,1.58E-04
1.91E+04,1,1.55E-04
1.95E+04,1,1.51E-04
2.00E+04,1,1.48E-04
2.04E+04,1,1.44E-04
2.09E+04,1,1.41E-04
2.14E+04,1,1.38E-04
2.19E+04,1,1.35E-04
2.24E+04,1,1.32E-04
2.29E+04,1,1.29E-04
2.34E+04,1,1.26E-04
2.40E+04,1,1.23E-04
2.46E+04,1,1.20E-04
2.51E+04,1,1.17E-04
2.57E+04,1,1.15E-04
2.63E+04,1,1.12E-04
2.69E+04,1,1.10E-04
2.75E+04,1,1.07E-04
2.82E+04,1,1.05E-04
2.88E+04,1,1.02E-04
2.95E+04,1,9.99E-05
3.02E+04,1,9.76E-05
3.09E+04,1,9.54E-05
3.16E+04,1,9.32E-05
3.24E+04,1,9.11E-05
3.31E+04,1,8.90E-05
3.39E+04,1,8.70E-05
3.47E+04,1,8.50E-05
3.55E+04,1,8.31E-05
3.63E+04,1,8.12E-05
3.72E+04,1,7.93E-05
3.80E+04,1,7.75E-05
3.89E+04,1,7.58E-05
3.98E+04,1,7.40E-05
4.07E+04,1,7.23E-05
4.17E+04,1,7.07E-05
4.27E+04,1,6.91E-05
4.37E+04,1,6.75E-05
4.47E+04,1,6.60E-05
4.57E+04,1,6.45E-05
4.68E+04,1,6.30E-05
4.79E+04,1,6.16E-05
4.90E+04,1,6.02E-05
5.01E+04,1,5.88E-05
5.13E+04,1,5.75E-05
5.25E+04,1,5.61E-05
5.37E+04,1,5.49E-05
5.50E+04,1,5.36E-05
5.62E+04,1,5.24E-05
5.75E+04,1,5.12E-05
5.89E+04,1,5.00E-05
6.03E+04,1,4.89E-05
6.17E+04,1,4.78E-05
6.31E+04,1,4.67E-05
6.46E+04,1,4.56E-05
6.61E+04,1,4.46E-05
6.76E+04,1,4.36E-05
6.92E+04,1,4.26E-05
7.08E+04,1,4.16E-05
7.24E+04,1,4.07E-05
7.41E+04,1,3.97E-05
7.59E+04,1,3.88E-05
7.76E+04,1,3.79E-05
7.94E+04,1,3.71E-05
8.13E+04,1,3.62E-05
8.32E+04,1,3.54E-05
8.51E+04,1,3.46E-05
8.71E+04,1,3.38E-05
8.91E+04,1,3.30E-05
9.12E+04,1,3.23E-05
9.33E+04,1,3.15E-05
9.55E+04,1,3.08E-05
9.77E+04,1,3.01E-05
1.00E+05,1,2.94E-05
1.02E+05,1,2.88E-05
1.05E+05,1,2.81E-05
1.07E+05,1,2.75E-05
1.10E+05,1,2.68E-05
1.12E+05,1,2.62E-05
1.15E+05,1,2.56E-05
1.18E+05,1,2.50E-05
1.20E+05,1,2.45E-05
1.23E+05,1,2.39E-05
1.26E+05,1,2.34E-05
1.29E+05,1,2.28E-05
1.32E+05,1,2.23E-05
1.35E+05,1,2.18E-05
1.38E+05,1,2.13E-05
1.41E+05,1,2.08E-05
1.45E+05,1,2.03E-05
1.48E+05,1,1.99E-05
1.51E+05,1,1.94E-05
1.55E+05,1,1.90E-05
1.59E+05,1,1.85E-05
1.62E+05,1,1.81E-05
1.66E+05,1,1.77E-05
1.70E+05,1,1.73E-05
1.74E+05,1,1.69E-05
1.78E+05,1,1.65E-05
1.82E+05,1,1.61E-05
1.86E+05,1,1.57E-05
1.91E+05,1,1.54E-05
1.95E+05,1,1.50E-05
2.00E+05,1,1.47E-05
2.04E+05,1,1.43E-05
2.09E+05,1,1.40E-05
2.14E+05,1,1.37E-05
2.19E+05,1,1.34E-05
2.24E+05,1,1.31E-05
2.29E+05,1,1.28E-05
2.34E+05,1,1.25E-05
2.40E+05,1,1.22E-05
2.46E+05,1,1.19E-05
2.51E+05,1,1.16E-05
2.57E+05,1,1.13E-05
2.63E+05,1,1.11E-05
2.69E+05,1,1.08E-05
2.75E+05,1,1.06E-05
2.82E+05,1,1.03E-05
2.88E+05,1,1.01E-05
2.95E+05,1,9.85E-06
3.02E+05,1,9.62E-06
3.09E+05,1,9.39E-06
3.16E+05,1,9.17E-06
3.24E+05,1,8.96E-06
3.31E+05,1,8.75E-06
3.39E+05,1,8.54E-06
3.47E+05,1,8.34E-06
3.55E+05,1,8.14E-06
3.63E+05,1,7.95E-06
3.72E+05,1,7.77E-06
3.80E+05,1,7.58E-06
3.89E+05,1,7.40E-06
3.98E+05,1,7.23E-06
4.07E+05,1,7.06E-06
4.17E+05,1,6.89E-06
4.27E+05,1,6.73E-06
4.37E+05,1,6.57E-06
4.47E+05,1,6.41E-06
4.57E+05,1,6.26E-06
4.68E+05,1,6.11E-06
4.79E+05,1,5.96E-06
4.90E+05,1,5.82E-06
5.01E+05,1,5.68E-06
5.13E+05,1,5.54E-06
5.25E+05,1,5.41E-06
5.37E+05,1,5.28E-06
5.50E+05,1,5.15E-06
5.62E+05,1,5.03E-06
5.75E+05,1,4.91E-06
5.89E+05,1,4.79E-06
6.03E+05,1,4.67E-06
6.17E+05,1,4.56E-06
6.31E+05,1,4.45E-06
6.46E+05,1,4.34E-06
6.61E+05,1,4.24E-06
6.76E+05,1,4.14E-06
6.92E+05,1,4.04E-06
7.08E+05,1,3.94E-06
7.24E+05,1,3.84E-06
7.41E+05,1,3.75E-06
7.59E+05,1,3.66E-06
7.76E+05,1,3.57E-06
7.94E+05,1,3.49E-06
8.13E+05,1,3.40E-06
8.32E+05,1,3.32E-06
8.51E+05,1,3.24E-06
8.71E+05,1,3.16E-06
8.91E+05,1,3.09E-06
9.12E+05,1,3.02E-06
9.33E+05,1,2.94E-06
9.55E+05,1,2.88E-06
9.77E+05,1,2.81E-06
1.00E+06,1,2.74E-06
1.02E+06,1,2.68E-06
1.05E+06,1,2.62E-06
1.07E+06,1,2.56E-06
1.10E+06,1,2.50E-06
1.12E+06,1,2.44E-06
1.15E+06,1,2.39E-06
1.18E+06,1,2.33E-06
1.20E+06,1,2.28E-06
1.23E+06,1,2.23E-06
1.26E+06,1,2.18E-06
1.29E+06,1,2.14E-06
1.32E+06,1,2.09E-06
1.35E+06,1,2.05E-06
1.38E+06,1,2.00E-06
1.41E+06,1,1.96E-06
1.45E+06,1,1.92E-06
1.48E+06,1,1.88E-06
1.51E+06,1,1.85E-06
1.55E+06,1,1.81E-06
1.59E+06,1,1.77E-06
1.62E+06,1,1.74E-06
1.66E+06,1,1.71E-06
1.70E+06,1,1.68E-06
1.74E+06,1,1.65E-06
1.78E+06,1,1.62E-06
1.82E+06,1,1.59E-06
1.86E+06,1,1.56E-06
1.91E+06,1,1.54E-06
1.95E+06,1,1.51E-06
2.00E+06,1,1.49E-06
2.04E+06,1,1.46E-06
2.09E+06,1,1.44E-06
2.14E+06,1,1.42E-06
2.19E+06,1,1.40E-06
2.24E+06,1,1.38E-06
2.29E+06,1,1.36E-06
2.34E+06,1,1.34E-06
2.40E+06,1,1.32E-06
