freq,v_in,v_out
36.31E3,1.000,123.8E-6
37.15E3,1.000,121.0E-6
38.02E3,1.000,118.2E-6
38.90E3,1.000,115.5E-6
39.81E3,1.000,112.9E-6
40.74E3,1.000,110.3E-6
41.69E3,1.000,107.8E-6
42.66E3,1.000,105.4E-6
43.65E3,1.000,102.9E-6
44.67E3,1.000,100.6E-6
45.71E3,1.000,98.31E-6
46.77E3,1.000,96.07E-6
47.86E3,1.000,93.88E-6
48.98E3,1.000,91.74E-6
50.12E3,1.000,89.65E-6
51.29E3,1.000,87.60E-6
52.48E3,1.000,85.60E-6
53.70E3,1.000,83.65E-6
54.95E3,1.000,81.74E-6
56.23E3,1.000,79.88E-6
57.54E3,1.000,78.05E-6
58.88E3,1.000,76.27E-6
60.26E3,1.000,74.53E-6
61.66E3,1.000,72.83E-6
63.10E3,1.000,71.17E-6
64.57E3,1.000,69.54E-6
66.07E3,1.000,67.96E-6
67.61E3,1.000,66.40E-6
69.18E3,1.000,64.89E-6
70.79E3,1.000,63.41E-6
72.44E3,1.000,61.96E-6
74.13E3,1.000,60.54E-6
75.86E3,1.000,59.16E-6
77.62E3,1.000,57.80E-6
79.43E3,1.000,56.48E-6
81.28E3,1.000,55.19E-6
83.18E3,1.000,53.93E-6
85.11E3,1.000,52.69E-6
87.10E3,1.000,51.49E-6
89.13E3,1.000,50.31E-6
91.20E3,1.000,49.16E-6
93.33E3,1.000,48.03E-6
95.50E3,1.000,46.93E-6
97.72E3,1.000,45.86E-6
100.0E3,1.000,44.80E-6
102.3E3,1.000,43.78E-6
104.7E3,1.000,42.77E-6
107.2E3,1.000,41.79E-6
109.6E3,1.000,40.83E-6
112.2E3,1.000,39.89E-6
114.8E3,1.000,38.98E-6
117.5E3,1.000,38.08E-6
120.2E3,1.000,37.21E-6
123.0E3,1.000,36.35E-6
125.9E3,1.000,35.51E-6
128.8E3,1.000,34.70E-6
131.8E3,1.000,33.90E-6
134.9E3,1.000,33.11E-6
138.0E3,1.000,32.35E-6
141.3E3,1.000,31.60E-6
144.5E3,1.000,30.87E-6
147.9E3,1.000,30.16E-6
151.4E3,1.000,29.46E-6
154.9E3,1.000,28.78E-6
158.5E3,1.000,28.11E-6
162.2E3,1.000,27.46E-6
166.0E3,1.000,26.83E-6
169.8E3,1.000,26.20E-6
173.8E3,1.000,25.59E-6
177.8E3,1.000,25.00E-6
182.0E3,1.000,24.42E-6
186.2E3,1.000,23.85E-6
190.5E3,1.000,23.29E-6
195.0E3,1.000,22.75E-6
199.5E3,1.000,22.21E-6
204.2E3,1.000,21.69E-6
208.9E3,1.000,21.19E-6
213.8E3,1.000,20.69E-6
218.8E3,1.000,20.20E-6
223.9E3,1.000,19.73E-6
229.1E3,1.000,19.26E-6
234.4E3,1.000,18.81E-6
239.9E3,1.000,18.36E-6
245.5E3,1.000,17.93E-6
251.2E3,1.000,17.50E-6
257.0E3,1.000,17.09E-6
263.0E3,1.000,16.68E-6
269.2E3,1.000,16.28E-6
275.4E3,1.000,15.89E-6
281.8E3,1.000,15.51E-6
288.4E3,1.000,15.14E-6
295.1E3,1.000,14.77E-6
302.0E3,1.000,14.42E-6
309.0E3,1.000,14.07E-6
316.2E3,1.000,13.73E-6
323.6E3,1.000,13.40E-6
331.1E3,1.000,13.07E-6
338.8E3,1.000,12.75E-6
346.7E3,1.000,12.44E-6
354.8E3,1.000,12.13E-6
363.1E3,1.000,11.83E-6
371.5E3,1.000,11.54E-6
380.2E3,1.000,11.25E-6
389.0E3,1.000,10.97E-6
398.1E3,1.000,10.70E-6
407.4E3,1.000,10.43E-6
416.9E3,1.000,10.17E-6
426.6E3,1.000,9.914E-6
436.5E3,1.000,9.663E-6
446.7E3,1.000,9.418E-6
457.1E3,1.000,9.177E-6
467.7E3,1.000,8.942E-6
478.6E3,1.000,8.712E-6
489.8E3,1.000,8.487E-6
501.2E3,1.000,8.267E-6
512.9E3,1.000,8.052E-6
524.8E3,1.000,7.841E-6
537.0E3,1.000,7.635E-6
549.5E3,1.000,7.434E-6
562.3E3,1.000,7.236E-6
575.4E3,1.000,7.044E-6
588.8E3,1.000,6.855E-6
602.6E3,1.000,6.671E-6
616.6E3,1.000,6.490E-6
631.0E3,1.000,6.314E-6
645.7E3,1.000,6.142E-6
660.7E3,1.000,5.973E-6
676.1E3,1.000,5.809E-6
691.8E3,1.000,5.648E-6
