freq,v_out1,v_out2,v_out3,v_in
1.622E3,1.540E-3,758.1E-6,320.7E-6,1.000
1.660E3,1.505E-3,740.9E-6,313.4E-6,1.000
1.698E3,1.471E-3,724.0E-6,306.3E-6,1.000
1.738E3,1.437E-3,707.5E-6,299.3E-6,1.000
1.778E3,1.405E-3,691.4E-6,292.5E-6,1.000
1.820E3,1.373E-3,675.7E-6,285.9E-6,1.000
1.862E3,1.341E-3,660.3E-6,279.4E-6,1.000
1.905E3,1.311E-3,645.3E-6,273.0E-6,1.000
1.950E3,1.281E-3,630.6E-6,266.8E-6,1.000
1.995E3,1.252E-3,616.2E-6,260.7E-6,1.000
2.042E3,1.223E-3,602.2E-6,254.8E-6,1.000
2.089E3,1.196E-3,588.5E-6,249.0E-6,1.000
2.138E3,1.168E-3,575.1E-6,243.3E-6,1.000
2.188E3,1.142E-3,562.0E-6,237.8E-6,1.000
2.239E3,1.116E-3,549.2E-6,232.4E-6,1.000
2.291E3,1.090E-3,536.7E-6,227.1E-6,1.000
2.344E3,1.066E-3,524.5E-6,221.9E-6,1.000
2.399E3,1.041E-3,512.6E-6,216.9E-6,1.000
2.455E3,1.018E-3,500.9E-6,211.9E-6,1.000
2.512E3,994.5E-6,489.5E-6,207.1E-6,1.000
2.570E3,971.8E-6,478.4E-6,202.4E-6,1.000
2.630E3,949.7E-6,467.5E-6,197.8E-6,1.000
2.692E3,928.1E-6,456.8E-6,193.3E-6,1.000
2.754E3,907.0E-6,446.4E-6,188.9E-6,1.000
2.818E3,886.3E-6,436.3E-6,184.6E-6,1.000
2.884E3,866.1E-6,426.3E-6,180.4E-6,1.000
2.951E3,846.4E-6,416.6E-6,176.3E-6,1.000
3.020E3,827.2E-6,407.2E-6,172.3E-6,1.000
3.090E3,808.3E-6,397.9E-6,168.3E-6,1.000
3.162E3,789.9E-6,388.8E-6,164.5E-6,1.000
3.236E3,771.9E-6,380.0E-6,160.8E-6,1.000
3.311E3,754.4E-6,371.3E-6,157.1E-6,1.000
3.388E3,737.2E-6,362.9E-6,153.5E-6,1.000
3.467E3,720.4E-6,354.6E-6,150.0E-6,1.000
3.548E3,704.0E-6,346.5E-6,146.6E-6,1.000
3.631E3,688.0E-6,338.7E-6,143.3E-6,1.000
3.715E3,672.3E-6,330.9E-6,140.0E-6,1.000
3.802E3,657.0E-6,323.4E-6,136.8E-6,1.000
3.890E3,642.1E-6,316.0E-6,133.7E-6,1.000
3.981E3,627.5E-6,308.9E-6,130.7E-6,1.000
4.074E3,613.2E-6,301.8E-6,127.7E-6,1.000
4.169E3,599.2E-6,295.0E-6,124.8E-6,1.000
4.266E3,585.6E-6,288.2E-6,121.9E-6,1.000
