time,v_out,v_in
6.178,1.772,0.000
6.193,1.773,0.000
6.209,1.773,0.000
6.228,1.774,0.000
6.251,1.774,0.000
6.280,1.774,0.000
6.316,1.774,0.000
6.366,1.774,0.000
6.436,1.774,0.000
6.506,1.774,0.000
6.576,1.774,0.000
6.646,1.774,0.000
6.716,1.774,0.000
6.786,1.774,0.000
6.856,1.774,0.000
6.926,1.774,0.000
6.963,1.774,0.000
7.000,1.774,0.000
