freq,v_in,v_out
177.8E3,1.000,2.204E-3
182.0E3,1.000,2.199E-3
186.2E3,1.000,2.194E-3
190.5E3,1.000,2.189E-3
195.0E3,1.000,2.184E-3
199.5E3,1.000,2.178E-3
204.2E3,1.000,2.173E-3
208.9E3,1.000,2.167E-3
213.8E3,1.000,2.161E-3
218.8E3,1.000,2.154E-3
223.9E3,1.000,2.148E-3
229.1E3,1.000,2.141E-3
234.4E3,1.000,2.134E-3
239.9E3,1.000,2.126E-3
245.5E3,1.000,2.119E-3
251.2E3,1.000,2.111E-3
257.0E3,1.000,2.103E-3
263.0E3,1.000,2.094E-3
269.2E3,1.000,2.085E-3
275.4E3,1.000,2.076E-3
281.8E3,1.000,2.067E-3
288.4E3,1.000,2.057E-3
295.1E3,1.000,2.047E-3
302.0E3,1.000,2.037E-3
309.0E3,1.000,2.026E-3
316.2E3,1.000,2.015E-3
323.6E3,1.000,2.004E-3
331.1E3,1.000,1.992E-3
338.8E3,1.000,1.981E-3
346.7E3,1.000,1.968E-3
354.8E3,1.000,1.956E-3
363.1E3,1.000,1.943E-3
371.5E3,1.000,1.929E-3
380.2E3,1.000,1.916E-3
389.0E3,1.000,1.902E-3
398.1E3,1.000,1.887E-3
407.4E3,1.000,1.873E-3
416.9E3,1.000,1.858E-3
426.6E3,1.000,1.843E-3
436.5E3,1.000,1.827E-3
446.7E3,1.000,1.811E-3
457.1E3,1.000,1.795E-3
467.7E3,1.000,1.778E-3
478.6E3,1.000,1.761E-3
489.8E3,1.000,1.744E-3
501.2E3,1.000,1.727E-3
512.9E3,1.000,1.709E-3
524.8E3,1.000,1.691E-3
537.0E3,1.000,1.673E-3
549.5E3,1.000,1.654E-3
562.3E3,1.000,1.636E-3
575.4E3,1.000,1.617E-3
588.8E3,1.000,1.598E-3
602.6E3,1.000,1.578E-3
616.6E3,1.000,1.559E-3
631.0E3,1.000,1.539E-3
645.7E3,1.000,1.520E-3
660.7E3,1.000,1.500E-3
676.1E3,1.000,1.480E-3
691.8E3,1.000,1.459E-3
707.9E3,1.000,1.439E-3
724.4E3,1.000,1.419E-3
741.3E3,1.000,1.398E-3
758.6E3,1.000,1.378E-3
776.2E3,1.000,1.358E-3
794.3E3,1.000,1.337E-3
812.8E3,1.000,1.317E-3
831.8E3,1.000,1.296E-3
851.1E3,1.000,1.276E-3
871.0E3,1.000,1.255E-3
891.3E3,1.000,1.235E-3
912.0E3,1.000,1.215E-3
933.3E3,1.000,1.194E-3
955.0E3,1.000,1.174E-3
977.2E3,1.000,1.154E-3
1.000E6,1.000,1.134E-3
1.023E6,1.000,1.115E-3
1.047E6,1.000,1.095E-3
1.072E6,1.000,1.076E-3
1.096E6,1.000,1.056E-3
1.122E6,1.000,1.037E-3
1.148E6,1.000,1.018E-3
1.175E6,1.000,999.4E-6
1.202E6,1.000,980.8E-6
1.230E6,1.000,962.3E-6
1.259E6,1.000,944.1E-6
1.288E6,1.000,926.1E-6
1.318E6,1.000,908.3E-6
1.349E6,1.000,890.8E-6
1.380E6,1.000,873.4E-6
1.413E6,1.000,856.3E-6
1.445E6,1.000,839.4E-6
1.479E6,1.000,822.7E-6
1.514E6,1.000,806.3E-6
1.549E6,1.000,790.1E-6
1.585E6,1.000,774.2E-6
1.622E6,1.000,758.5E-6
1.660E6,1.000,743.0E-6
1.698E6,1.000,727.8E-6
1.738E6,1.000,712.8E-6
1.778E6,1.000,698.1E-6
1.820E6,1.000,683.6E-6
1.862E6,1.000,669.4E-6
1.905E6,1.000,655.4E-6
1.950E6,1.000,641.6E-6
1.995E6,1.000,628.1E-6
2.042E6,1.000,614.8E-6
2.089E6,1.000,601.8E-6
2.138E6,1.000,589.0E-6
2.188E6,1.000,576.4E-6
2.239E6,1.000,564.1E-6
2.291E6,1.000,552.0E-6
2.344E6,1.000,540.1E-6
2.399E6,1.000,528.5E-6
2.455E6,1.000,517.0E-6
2.512E6,1.000,505.8E-6
2.570E6,1.000,494.9E-6
2.630E6,1.000,484.1E-6
2.692E6,1.000,473.5E-6
2.754E6,1.000,463.2E-6
2.818E6,1.000,453.1E-6
2.884E6,1.000,443.1E-6
2.951E6,1.000,433.4E-6
3.020E6,1.000,423.9E-6
3.090E6,1.000,414.6E-6
3.162E6,1.000,405.4E-6
3.236E6,1.000,396.5E-6
3.311E6,1.000,387.7E-6
3.388E6,1.000,379.1E-6
3.467E6,1.000,370.7E-6
3.548E6,1.000,362.5E-6
3.631E6,1.000,354.4E-6
3.715E6,1.000,346.5E-6
3.802E6,1.000,338.8E-6
3.890E6,1.000,331.3E-6
3.981E6,1.000,323.9E-6
4.074E6,1.000,316.6E-6
4.169E6,1.000,309.6E-6
4.266E6,1.000,302.6E-6
4.365E6,1.000,295.9E-6
4.467E6,1.000,289.2E-6
4.571E6,1.000,282.8E-6
4.677E6,1.000,276.4E-6
4.786E6,1.000,270.2E-6
4.898E6,1.000,264.1E-6
5.012E6,1.000,258.2E-6
5.129E6,1.000,252.4E-6
5.248E6,1.000,246.7E-6
5.370E6,1.000,241.2E-6
5.495E6,1.000,235.7E-6
5.623E6,1.000,230.4E-6
5.754E6,1.000,225.2E-6
5.888E6,1.000,220.1E-6
6.026E6,1.000,215.2E-6
6.166E6,1.000,210.3E-6
6.310E6,1.000,205.6E-6
6.457E6,1.000,200.9E-6
6.607E6,1.000,196.4E-6
6.761E6,1.000,191.9E-6
6.918E6,1.000,187.6E-6
7.079E6,1.000,183.4E-6
7.244E6,1.000,179.2E-6
7.413E6,1.000,175.2E-6
7.586E6,1.000,171.2E-6
7.762E6,1.000,167.3E-6
7.943E6,1.000,163.5E-6
8.128E6,1.000,159.8E-6
8.318E6,1.000,156.2E-6
8.511E6,1.000,152.7E-6
8.710E6,1.000,149.2E-6
8.913E6,1.000,145.8E-6
9.120E6,1.000,142.5E-6
9.333E6,1.000,139.3E-6
9.550E6,1.000,136.1E-6
9.772E6,1.000,133.0E-6
10.00E6,1.000,130.0E-6
10.23E6,1.000,127.1E-6
10.47E6,1.000,124.2E-6
10.72E6,1.000,121.4E-6
10.96E6,1.000,118.6E-6
11.22E6,1.000,115.9E-6
11.48E6,1.000,113.3E-6
11.75E6,1.000,110.7E-6
12.02E6,1.000,108.2E-6
12.30E6,1.000,105.7E-6
12.59E6,1.000,103.3E-6
12.88E6,1.000,101.0E-6
13.18E6,1.000,98.69E-6
13.49E6,1.000,96.45E-6
13.80E6,1.000,94.26E-6
14.13E6,1.000,92.12E-6
14.45E6,1.000,90.02E-6
14.79E6,1.000,87.98E-6
15.14E6,1.000,85.98E-6
15.49E6,1.000,84.02E-6
15.85E6,1.000,82.11E-6
16.22E6,1.000,80.24E-6
16.60E6,1.000,78.42E-6
16.98E6,1.000,76.64E-6
17.38E6,1.000,74.89E-6
17.78E6,1.000,73.19E-6
18.20E6,1.000,71.53E-6
18.62E6,1.000,69.90E-6
19.05E6,1.000,68.31E-6
19.50E6,1.000,66.76E-6
19.95E6,1.000,65.24E-6
20.42E6,1.000,63.76E-6
20.89E6,1.000,62.30E-6
21.38E6,1.000,60.89E-6
21.88E6,1.000,59.50E-6
22.39E6,1.000,58.15E-6
22.91E6,1.000,56.83E-6
23.44E6,1.000,55.53E-6
23.99E6,1.000,54.27E-6
24.55E6,1.000,53.04E-6
25.12E6,1.000,51.83E-6
25.70E6,1.000,50.65E-6
26.30E6,1.000,49.50E-6
26.92E6,1.000,48.37E-6
27.54E6,1.000,47.27E-6
28.18E6,1.000,46.19E-6
28.84E6,1.000,45.14E-6
29.51E6,1.000,44.12E-6
30.20E6,1.000,43.11E-6
