time,v_out,v_in
6.000,902.0E-3,0.000
6.000,905.3E-3,0.000
6.000,911.9E-3,0.000
6.001,924.8E-3,0.000
6.002,950.1E-3,0.000
6.004,998.4E-3,0.000
6.006,1.060,0.000
6.008,1.117,0.000
6.011,1.169,0.000
6.013,1.218,0.000
6.016,1.264,0.000
6.018,1.307,0.000
6.021,1.347,0.000
6.024,1.385,0.000
6.026,1.421,0.000
6.029,1.454,0.000
6.032,1.485,0.000
6.035,1.514,0.000
6.038,1.541,0.000
6.042,1.566,0.000
6.045,1.589,0.000
6.049,1.610,0.000
6.052,1.630,0.000
6.056,1.647,0.000
6.060,1.664,0.000
6.064,1.678,0.000
6.068,1.692,0.000
6.073,1.704,0.000
6.078,1.714,0.000
6.083,1.724,0.000
6.088,1.732,0.000
6.094,1.740,0.000
6.099,1.746,0.000
6.106,1.752,0.000
6.113,1.756,0.000
6.120,1.760,0.000
6.128,1.764,0.000
6.136,1.766,0.000
6.145,1.768,0.000
6.155,1.770,0.000
6.167,1.771,0.000
6.179,1.772,0.000
6.194,1.773,0.000
6.210,1.773,0.000
6.229,1.774,0.000
6.253,1.774,0.000
6.281,1.774,0.000
6.318,1.774,0.000
6.368,1.774,0.000
6.438,1.774,0.000
6.508,1.774,0.000
6.578,1.774,0.000
6.648,1.774,0.000
6.718,1.774,0.000
6.788,1.774,0.000
6.858,1.774,0.000
6.928,1.774,0.000
6.964,1.774,0.000
7.000,1.774,0.000
