freq, v_out
66.07E6,916.4E-9
67.61E6,916.4E-9
69.18E6,916.4E-9
70.79E6,916.3E-9
72.44E6,916.3E-9
74.13E6,916.3E-9
75.86E6,916.3E-9
77.62E6,916.2E-9
79.43E6,916.2E-9
81.28E6,916.2E-9
83.18E6,916.2E-9
85.11E6,916.2E-9
87.10E6,916.2E-9
89.13E6,916.1E-9
91.20E6,916.1E-9
93.33E6,916.1E-9
95.50E6,916.1E-9
97.72E6,916.1E-9
100.0E6,916.1E-9
102.3E6,916.1E-9
104.7E6,916.1E-9
107.2E6,916.0E-9
109.6E6,916.0E-9
112.2E6,916.0E-9
114.8E6,916.0E-9
117.5E6,916.0E-9
120.2E6,916.0E-9
123.0E6,916.0E-9
125.9E6,916.0E-9
128.8E6,916.0E-9
131.8E6,916.0E-9
134.9E6,916.0E-9
138.0E6,916.0E-9
141.3E6,916.0E-9
144.5E6,915.9E-9
147.9E6,915.9E-9
151.4E6,915.9E-9
154.9E6,915.9E-9
158.5E6,915.9E-9
162.2E6,915.9E-9
166.0E6,915.9E-9
169.8E6,915.9E-9
173.8E6,915.9E-9
177.8E6,915.9E-9
182.0E6,915.9E-9
186.2E6,915.9E-9
190.5E6,915.9E-9
195.0E6,915.9E-9
199.5E6,915.9E-9
204.2E6,915.9E-9
208.9E6,915.9E-9
213.8E6,915.9E-9
218.8E6,915.9E-9
223.9E6,915.9E-9
229.1E6,915.9E-9
234.4E6,915.9E-9
239.9E6,915.9E-9
245.5E6,915.9E-9
251.2E6,915.9E-9
257.0E6,915.9E-9
263.0E6,915.9E-9
269.2E6,915.9E-9
275.4E6,915.9E-9
281.8E6,915.9E-9
288.4E6,915.9E-9
295.1E6,915.9E-9
302.0E6,915.9E-9
309.0E6,915.9E-9
316.2E6,915.9E-9
323.6E6,915.9E-9
331.1E6,915.9E-9
338.8E6,915.8E-9
346.7E6,915.8E-9
354.8E6,915.8E-9
363.1E6,915.8E-9
371.5E6,915.8E-9
380.2E6,915.8E-9
389.0E6,915.8E-9
398.1E6,915.8E-9
407.4E6,915.8E-9
416.9E6,915.8E-9
426.6E6,915.8E-9
436.5E6,915.8E-9
446.7E6,915.8E-9
457.1E6,915.8E-9
467.7E6,915.8E-9
478.6E6,915.8E-9
489.8E6,915.8E-9
501.2E6,915.8E-9
512.9E6,915.8E-9
524.8E6,915.8E-9
537.0E6,915.8E-9
549.5E6,915.8E-9
562.3E6,915.8E-9
575.4E6,915.8E-9
588.8E6,915.8E-9
602.6E6,915.8E-9
616.6E6,915.8E-9
631.0E6,915.8E-9
645.7E6,915.8E-9
660.7E6,915.8E-9
676.1E6,915.8E-9
691.8E6,915.8E-9
707.9E6,915.8E-9
724.4E6,915.8E-9
741.3E6,915.8E-9
758.6E6,915.8E-9
776.2E6,915.8E-9
794.3E6,915.8E-9
812.8E6,915.8E-9
831.8E6,915.8E-9
851.1E6,915.8E-9
871.0E6,915.8E-9
891.3E6,915.8E-9
912.0E6,915.8E-9
933.3E6,915.8E-9
955.0E6,915.8E-9
977.2E6,915.8E-9
1.000E9,915.8E-9
1.023E9,915.8E-9
1.047E9,915.8E-9
1.072E9,915.8E-9
