freq,v_out,v_in
1.698E6,3.062E-6,1.000
1.738E6,3.007E-6,1.000
1.778E6,2.954E-6,1.000
1.820E6,2.903E-6,1.000
1.862E6,2.854E-6,1.000
1.905E6,2.807E-6,1.000
1.950E6,2.762E-6,1.000
1.995E6,2.718E-6,1.000
2.042E6,2.676E-6,1.000
2.089E6,2.635E-6,1.000
2.138E6,2.596E-6,1.000
2.188E6,2.559E-6,1.000
2.239E6,2.522E-6,1.000
2.291E6,2.488E-6,1.000
2.344E6,2.454E-6,1.000
2.399E6,2.422E-6,1.000
2.455E6,2.391E-6,1.000
2.512E6,2.362E-6,1.000
2.570E6,2.333E-6,1.000
2.630E6,2.306E-6,1.000
2.692E6,2.280E-6,1.000
2.754E6,2.255E-6,1.000
2.818E6,2.231E-6,1.000
2.884E6,2.207E-6,1.000
2.951E6,2.185E-6,1.000
3.020E6,2.164E-6,1.000
3.090E6,2.144E-6,1.000
3.162E6,2.124E-6,1.000
3.236E6,2.105E-6,1.000
3.311E6,2.087E-6,1.000
3.388E6,2.070E-6,1.000
3.467E6,2.053E-6,1.000
3.548E6,2.038E-6,1.000
3.631E6,2.022E-6,1.000
3.715E6,2.008E-6,1.000
3.802E6,1.994E-6,1.000
3.890E6,1.981E-6,1.000
3.981E6,1.968E-6,1.000
4.074E6,1.956E-6,1.000
4.169E6,1.944E-6,1.000
4.266E6,1.933E-6,1.000
4.365E6,1.922E-6,1.000
4.467E6,1.912E-6,1.000
4.571E6,1.902E-6,1.000
4.677E6,1.893E-6,1.000
4.786E6,1.884E-6,1.000
4.898E6,1.875E-6,1.000
5.012E6,1.867E-6,1.000
5.129E6,1.859E-6,1.000
5.248E6,1.851E-6,1.000
5.370E6,1.844E-6,1.000
5.495E6,1.837E-6,1.000
5.623E6,1.831E-6,1.000
5.754E6,1.824E-6,1.000
5.888E6,1.818E-6,1.000
6.026E6,1.813E-6,1.000
6.166E6,1.807E-6,1.000
6.310E6,1.802E-6,1.000
6.457E6,1.797E-6,1.000
6.607E6,1.792E-6,1.000
6.761E6,1.787E-6,1.000
6.918E6,1.783E-6,1.000
7.079E6,1.779E-6,1.000
7.244E6,1.775E-6,1.000
7.413E6,1.771E-6,1.000
7.586E6,1.767E-6,1.000
7.762E6,1.764E-6,1.000
7.943E6,1.760E-6,1.000
8.128E6,1.757E-6,1.000
8.318E6,1.754E-6,1.000
8.511E6,1.751E-6,1.000
8.710E6,1.748E-6,1.000
8.913E6,1.746E-6,1.000
9.120E6,1.743E-6,1.000
9.333E6,1.741E-6,1.000
9.550E6,1.738E-6,1.000
9.772E6,1.736E-6,1.000
10.00E6,1.734E-6,1.000
10.23E6,1.732E-6,1.000
10.47E6,1.730E-6,1.000
10.72E6,1.728E-6,1.000
10.96E6,1.726E-6,1.000
11.22E6,1.725E-6,1.000
11.48E6,1.723E-6,1.000
11.75E6,1.721E-6,1.000
